Country Name,Country Code,Income Group,Region,Indicator Name,Indicator Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,AFG,Low income,South Asia,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,870.0,920.0,920.0,1010.0,1070.0,1210.0,1250.0,1490.0,1590.0,1680.0,1900.0,1900.0,1890.0
Afghanistan,AFG,Low income,South Asia,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,,13.3170795440674,18.6647891998291,19.7837009429932,29.9304599761963,30.0831604003906,40.2233810424805,46.7327613830566,53.2468299865723,54.6161804199219,56.6773414611816,56.6886596679688,55.6561584472656
Afghanistan,AFG,Low income,South Asia,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,,1.25683999061584,1.25602996349335,,,,,3.9033899307251,,3.75598001480103,,,8.66279983520508
Afghanistan,AFG,Low income,South Asia,"Population, total",SP.POP.TOTL,21979923.0,23064851.0,24118979.0,25070798.0,25893450.0,26616792.0,27294031.0,28004331.0,28803167.0,29708599.0,30696958.0,31731688.0,32758020.0
Afghanistan,AFG,Low income,South Asia,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.03503370285034,-2.19837236404419,-2.29568219184875,-2.06750988960266,-2.21913456916809,-2.4133734703064,-2.69136095046997,-2.71142148971558,-2.57915186882019,-2.50205969810486,-2.41856145858765,-2.51934909820557,-2.41106843948364
Afghanistan,AFG,Low income,South Asia,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4.0,5.0,5.454545455,5.9,7.0
Albania,ALB,Upper middle income,Europe & Central Asia,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,4870.0,5250.0,5660.0,6060.0,6830.0,7490.0,8270.0,8680.0,9550.0,10210.0,10450.0,10610.0,11200.0
Albania,ALB,Upper middle income,Europe & Central Asia,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,73.0028610229492,75.0189895629883,74.170280456543,76.8870620727539,77.9558868408203,81.2808685302734,83.6489181518555,85.409309387207,88.4116363525391,90.8483505249023,92.7414703369141,95.8315734863281,96.4260864257813
Albania,ALB,Upper middle income,Europe & Central Asia,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,16.4317092895508,16.8055591583252,20.0555400848389,23.3111000061035,26.6204395294189,30.6536693572998,32.0778007507324,33.400749206543,44.5406494140625,49.6703987121582,58.5654907226563,62.5477600097656,62.7068481445313
Albania,ALB,Upper middle income,Europe & Central Asia,"Population, total",SP.POP.TOTL,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0
Albania,ALB,Upper middle income,Europe & Central Asia,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.297719180583954,-0.309780240058899,-0.427259683609009,-0.505047976970673,-0.508157312870026,-0.203974649310112,-0.0305009130388498,-0.0451405122876167,-0.191482901573181,-0.282379418611526,-0.143631592392921,0.0919297859072685,0.485986232757568
Albania,ALB,Upper middle income,Europe & Central Asia,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45.0,47.0,49.4,51.8,54.3
Algeria,DZA,Upper middle income,Middle East & North Africa,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,8570.0,9270.0,9760.0,10430.0,10880.0,11670.0,12070.0,12130.0,12580.0,12850.0,13160.0,13420.0,13890.0
Algeria,DZA,Upper middle income,Middle East & North Africa,"Gross enrolment ratio, secondary, both sexes (%)",SE.SEC.ENRR,71.5598526000977,73.7556610107422,77.2134017944335,78.7822265625,79.7915802001953,70.2812118530273,76.7558517456055,93.0700302124023,97.1719207763672,99.8601913452148,,,
